mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.3756228923797607,1.1608553626652052,0.004343795776367188,0.00187816453413368,2.195254015709299,l1,"{'lr__C': 2.195254015709299, 'lr__penalty': 'l1'}",0.8699186991869918,0.7622950819672131,0.8770491803278688,0.7295081967213115,0.7540983606557377,0.7985739037718246,0.062149412870547135,9
1.6212299823760987,0.39627513803221825,0.0026871681213378905,0.00022499708726138668,3.3770629943240693,l1,"{'lr__C': 3.3770629943240693, 'lr__penalty': 'l1'}",0.8780487804878049,0.7786885245901639,0.8524590163934426,0.7622950819672131,0.7786885245901639,0.8100359856057576,0.04619518224523728,7
4.1135111331939695,0.048788571419098536,0.0033710956573486327,0.0013489230144574176,2.1795327319875875,l1,"{'lr__C': 2.1795327319875875, 'lr__penalty': 'l1'}",0.8699186991869918,0.7377049180327869,0.860655737704918,0.7540983606557377,0.7868852459016393,0.8018525922964148,0.05424060661220186,8
0.6090238094329834,0.11497444561626624,0.003082609176635742,0.0005566860435856299,2.4942547871438894,l2,"{'lr__C': 2.4942547871438894, 'lr__penalty': 'l2'}",0.943089430894309,0.8278688524590164,0.9016393442622951,0.7950819672131147,0.8114754098360656,0.85583100093296,0.056836930291187505,3
1.012017011642456,0.2428133680198274,0.00427398681640625,0.0032233952579230653,1.75034884505077,l2,"{'lr__C': 1.75034884505077, 'lr__penalty': 'l2'}",0.9512195121951219,0.819672131147541,0.9098360655737705,0.7950819672131147,0.8114754098360656,0.8574570171931226,0.061591594989717266,2
0.3252901554107666,0.025827750534012824,0.0030203342437744142,0.000629758446711281,0.22685190926977272,l2,"{'lr__C': 0.22685190926977272, 'lr__penalty': 'l2'}",0.943089430894309,0.8114754098360656,0.8852459016393442,0.7868852459016393,0.819672131147541,0.8492736238837798,0.057083576406201424,6
1.1891125202178956,0.267960297583936,0.0026499271392822266,0.00013440470521045708,1.5337660753031108,l2,"{'lr__C': 1.5337660753031108, 'lr__penalty': 'l2'}",0.9512195121951219,0.819672131147541,0.9098360655737705,0.7950819672131147,0.8032786885245902,0.8558176729308276,0.06288905898645995,4
0.46517443656921387,0.07447520632818876,0.0025771141052246095,0.00016830753596361846,3.2486749151019727,l2,"{'lr__C': 3.2486749151019727, 'lr__penalty': 'l2'}",0.943089430894309,0.8278688524590164,0.8934426229508197,0.8114754098360656,0.8114754098360656,0.8574703451952553,0.052406009450197695,1
3.929784393310547,0.44073390440814325,0.0028922557830810547,0.0001394445842892341,2.2721782443757292,l1,"{'lr__C': 2.2721782443757292, 'lr__penalty': 'l1'}",0.8699186991869918,0.7540983606557377,0.860655737704918,0.7459016393442623,0.7622950819672131,0.7985739037718245,0.05479567177114806,10
0.45232739448547366,0.0712253304011175,0.0030821800231933595,0.0005817788651350375,3.34431505414951,l2,"{'lr__C': 3.34431505414951, 'lr__penalty': 'l2'}",0.943089430894309,0.8278688524590164,0.8770491803278688,0.8114754098360656,0.8114754098360656,0.8541916566706652,0.05053221973848218,5
