mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.367425489425659,1.1664736502184554,0.002759504318237305,0.00011827362984680207,2.195254015709299,l1,"{'lr__C': 2.195254015709299, 'lr__penalty': 'l1'}",0.8699186991869918,0.7622950819672131,0.8770491803278688,0.7295081967213115,0.7540983606557377,0.7985739037718246,0.062149412870547135,9
1.630610418319702,0.40054768974181965,0.0028641223907470703,0.0005775388000155072,3.3770629943240693,l1,"{'lr__C': 3.3770629943240693, 'lr__penalty': 'l1'}",0.8780487804878049,0.7786885245901639,0.8524590163934426,0.7622950819672131,0.7786885245901639,0.8100359856057576,0.04619518224523728,7
4.235432720184326,0.1397672475808643,0.006425285339355468,0.00415826871274776,2.1795327319875875,l1,"{'lr__C': 2.1795327319875875, 'lr__penalty': 'l1'}",0.8699186991869918,0.7377049180327869,0.860655737704918,0.7540983606557377,0.7868852459016393,0.8018525922964148,0.05424060661220186,8
0.6405095100402832,0.09357113937963688,0.004835891723632813,0.0046322185198106,2.4942547871438894,l2,"{'lr__C': 2.4942547871438894, 'lr__penalty': 'l2'}",0.943089430894309,0.8278688524590164,0.9016393442622951,0.7950819672131147,0.8114754098360656,0.85583100093296,0.056836930291187505,3
1.0112518310546874,0.2432419848810551,0.0027707099914550783,0.0003019351335639033,1.75034884505077,l2,"{'lr__C': 1.75034884505077, 'lr__penalty': 'l2'}",0.9512195121951219,0.819672131147541,0.9098360655737705,0.7950819672131147,0.8114754098360656,0.8574570171931226,0.061591594989717266,2
0.3003662109375,0.027334276606879832,0.002868366241455078,0.0006845332545729513,0.22685190926977272,l2,"{'lr__C': 0.22685190926977272, 'lr__penalty': 'l2'}",0.943089430894309,0.8114754098360656,0.8852459016393442,0.7868852459016393,0.819672131147541,0.8492736238837798,0.057083576406201424,6
1.2944294929504394,0.3654060071994115,0.003618192672729492,0.0016391086917118196,1.5337660753031108,l2,"{'lr__C': 1.5337660753031108, 'lr__penalty': 'l2'}",0.9512195121951219,0.819672131147541,0.9098360655737705,0.7950819672131147,0.8032786885245902,0.8558176729308276,0.06288905898645995,4
0.44948315620422363,0.07264524925753096,0.002780723571777344,0.0003202672575495847,3.2486749151019727,l2,"{'lr__C': 3.2486749151019727, 'lr__penalty': 'l2'}",0.943089430894309,0.8278688524590164,0.8934426229508197,0.8114754098360656,0.8114754098360656,0.8574703451952553,0.052406009450197695,1
4.110823440551758,0.39650991830777776,0.01217508316040039,0.01113515188519979,2.2721782443757292,l1,"{'lr__C': 2.2721782443757292, 'lr__penalty': 'l1'}",0.8699186991869918,0.7540983606557377,0.860655737704918,0.7459016393442623,0.7622950819672131,0.7985739037718245,0.05479567177114806,10
0.4673654079437256,0.091083688890065,0.0028287887573242186,0.0003443570386080013,3.34431505414951,l2,"{'lr__C': 3.34431505414951, 'lr__penalty': 'l2'}",0.943089430894309,0.8278688524590164,0.8770491803278688,0.8114754098360656,0.8114754098360656,0.8541916566706652,0.05053221973848218,5
